モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
3081,強化ゾンビスローター,ガタガタするドクロ,0,壊れた農具,0,べとべとする液体,0,死者の遺品,0,白金のショーテル [1],0,サバフのリング,0,カルニウム,0,ゾンビスローターカード,1
3082,強化ネクロマンサー,スケルボーン,0,ガタガタするドクロ,0,破れた魔法書,0,ブルージェムストーン,0,返魂のお札,0,スタッフオブカーシング [2],0,ミスリルマジックマント [1],0,ネクロマンサーカード,1
3088,フロストスパイダー,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3089,狂気のカーサ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3090,狂気のサラマンダー,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3091,ブリナラネア,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3092,ムスペルスコール,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3096,再生の半魔神,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3097,絶望の神モロク,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3098,太古のモロク,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3099,安息のモロク,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3101,光輝のマナ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3102,生命のマナ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3103,大地のマナ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3105,魔神の使徒・アハト,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3106,魔神の使徒・シナイム,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3108,f・ジターバグ,新体操リボン [2],0,ジターバグの牙,0,ジターバグの牙,0,ジターバグの牙,0,ジターバグの牙,0,リンゴ,0,リンゴ,0,ジターバグカード,1
3109,p・ジターバグ,コントラバス [2],0,ジターバグの牙,0,ジターバグの牙,0,ジターバグの牙,0,ジターバグの牙,0,リンゴ,0,リンゴ,0,ジターバグカード,1
3124,チャールストン3号,焦げた記憶媒体,0,古びた燃料タンク,0,ローリングサンダー [3],0,カラースコープ [2],0,パワードタンク [1],0,ガーディアンエンジン [1],0,錆びたアーム [3],0,チャールストン3号カード,1
3125,ステップ,クリムゾンボルト [1],1204,変形した鉄板,648,鉄,278,黒色火薬,278,アルテアアレス [2],0,リンゴ,0,リンゴ,0,ステップカード,1
3126,ロックステップ,ナックルダスター [2],1500,壊れたエンジン,500,古い鉄板,0,デスファイア [3],0,透明な板(風),0,透明な板(水),0,ヘブンズフェザー＆ヘルズファイア [2],0,ロックステップカード,1
3127,キックステップ,透明な板(風),1000,透明な板(地),1000,透明な板(水),1000,壊れたエンジン,500,古い鉄板,500,ミニーメイ [2],0,RAG203 [2],0,キックステップカード,1
3128,キックアンドキック,変形した鉄板,1860,フィスト,543,鉄,388,エンド・オブ・ホライゾン [3],0,透明な板(風),0,透明な板(地),10,透明な板(水),0,キックアンドキックカード,1
3139,怨恨の庭師,古城の亡者の爪,0,古城の亡者の歯,0,べとべとする液体,0,オパール,0,凝縮した魔血,0,リンゴ,0,リンゴ,0,リンゴ,0
3140,怨恨のメイド,古城の亡者の爪,0,古城の亡者の歯,0,水晶鏡,0,ヴェール [1],0,割れた酒壺,0,凝縮した魔血,0,リンゴ,0,リンゴ,0
3141,怨恨の家令,古城の亡者の爪,0,古城の亡者の歯,0,ボロボロの白い服,0,オリデオコン原石,0,骸骨の指輪 [1],0,凝縮した魔血,0,リンゴ,0,リンゴ,0
3142,強マゴット,丸形の皮,0,古城の亡者の爪,0,古城の亡者の歯,0,グレイトネイチャ,0,凝縮した魔血,0,リンゴ,0,リンゴ,0,リンゴ,0
3143,怨恨の兵士,ブリガン,0,古城の亡者の爪,0,古城の亡者の歯,0,凝縮した魔血,0,エルニウム,0,クロムメタルツーハンドソード,0,リンゴ,0,リンゴ,0
3144,怨恨の弓兵,ブリガン,0,古城の亡者の爪,0,古城の亡者の歯,0,凝縮した魔血,0,エルニウム,0,角弓 [2],0,リンゴ,0,リンゴ,0
3145,怨恨の白の騎士,馬の手綱,0,古城の亡者の爪,0,古城の亡者の歯,0,凝縮した魔血,0,アルカブリンガー [2],0,忠節の証,0,リンゴ,0,怨恨の白の騎士カード,1
3146,怨恨のカーリッツバーグ,古城の亡者の爪,0,古城の亡者の歯,0,凝縮した魔血,0,エルニウム,0,スターダストブレイド [3],0,忠節の証,0,リンゴ,0,怨恨のカーリッツバーグカード,1
3147,怨恨の騎士,ブリガン,0,古城の亡者の爪,0,古城の亡者の歯,0,凝縮した魔血,0,テグリョン [2],0,村正 [2],0,リンゴ,0,リンゴ,0
3148,死のロイヤルナイト,古城の亡者の爪,0,古城の亡者の歯,0,串,0,ハリケーンフューリー [1],0,凝縮した魔血,0,ヘタイロイの剣 [2],0,リンゴ,0,苦痛のロイヤルナイトカード,1
3149,絶望のロイヤルナイト,古城の亡者の爪,0,古城の亡者の歯,0,クレセントサイダー [1],0,ギガントアックス [1],0,凝縮した魔血,0,魔導剣 [2],0,リンゴ,0,呪われたロイヤルナイトカード,1
3150,魔眼のアムダライス,古い紫色の箱,0,時間の赤水晶,0,イグドラシルの実,0,忠節の証,0,古いカード帖,0,死の引導者 [2],0,リンゴ,0,魔眼のアムダライスカード,1
3151,殺戮の魔眼,古い紫色の箱,0,時間の赤水晶,0,イグドラシルの実,0,暗闇の意志,0,古いカード帖,0,フレイムグローブ [1],0,リンゴ,0,殺戮の魔眼カード,1
3152,怨恨のカーリッツバーグ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3153,掘削型ウェルスギア,鉄虫,294,オリデオコン,141,古びた燃料タンク,41,パワードメイル,10,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3154,偵察型ウェルスギア,鉄,1000,オリデオコン原石,1000,鉄虫,150,古びた鉄塊,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3155,修理型ウェルスギア,鉄,4000,鋼鉄,1000,オリデオコン原石,750,古びた鉄塊,50,古びた燃料タンク,25,パワードアーム [1],0,リンゴ,0,修理型ウェルスギアカード,1
3156,探査型ウェルスギア,鉄,6021,鋼鉄,968,オリデオコン原石,519,古びた鉄塊,79,古びた燃料タンク,1,リンゴ,0,リンゴ,0,探査型ウェルスギアカード,1
3157,滅亡祝福教団幹部,滅亡の証,10000,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3158,滅亡祝福教団信者,滅亡の証,10000,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3159,教団の目印,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3169,射撃標的,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3170,非射撃標的,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3173,火狐,純潔の小太刀,150,オリデオコン,800,エルニウム,600,精神棒,5,仮初めの恋,0,高級武器の箱,1,古い紫色の箱,1,リンゴ,0
3174,ヘルフライ,ラフウィンド,0,あれ,0,オリデオコン,0,神官の杖,0,骸骨の杖,0,茨の杖,0,リンゴ,0,リンゴ,0
3181,暴走した船長ペルロック,ペルロックのスーツ [1],2700,ペルロックのマント [1],2300,ペルロックのブーツ [1],2700,エナジー<致命ノ一撃>,0,[衣装] ペルロックの帽子,0,リンゴ,0,リンゴ,0,リンゴ,0
3182,スカイロータージャイロ,ジャルゴン,2917,でっかいゼロピー,278,ハエの羽,625,ガレット,347,アーマー,0,リンゴ,0,リンゴ,0,リンゴ,0
3183,スカイグレムリン,暗黒の意志,2815,べとべとする液体,2963,アメジスト,74,古く青い箱,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3184,スカイビホルダー,トゲの実,2800,ラフウィンド,33,アンティペインメント,67,エルニウム,0,古く青い箱,0,リンゴ,0,リンゴ,0,リンゴ,0
3185,ワイバーンキッド,ドラゴンの牙,2074,ドラゴンの皮,519,光の粒,222,黄の宝玉,148,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3186,レッサーワイバーン,ドラゴンの牙,1373,ドラゴンの鱗,1830,ドラゴンの皮,654,青の宝玉,196,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3187,ワイバーン,鮮血の鱗,554,宝箱,407,エルニウム,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3188,怒りの船長ペルロック,飛行船スーツ,3478,飛行船マント,2069,飛行船ブーツ,2759,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3190,サラの幻影,宝箱,0,サラのローブ [1],0,ヴァルハラの花,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,サラの幻影カード,1
3191,双斧ギガンテス,ジャルゴン,9167,銀塊,833,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3192,機動の双斧ギガンテス,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3193,双斧レッドギガンテス,ギガンテスの破片,10000,ジャルゴン,9062,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3194,ギガンテス,ジャルゴン,8796,銀塊,1019,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3195,機動のギガンテス,ジャルゴン,9167,銀塊,556,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3196,レッドギガンテス,ギガンテスの破片,10000,ジャルゴン,8571,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3197,サラの使い魔,ジャルゴン,0,サイレンスアロー,0,子悪魔の翼,0,エルニウム原石,0,エルニウム原石,0,弓用の指貫,0,リンゴ,0,リンゴ,0
3198,凶悪なガリオン,腐った肉,0,獣の皮,1000,エルニウム原石,0,ラフウィンド,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3204,ターバリン,レッドジェムストーン,0,紅ポーション,0,ガーネット,0,精霊の赤い結晶,0,リンゴジュース,0,ファイアーボトル,0,黒羽のブローチ,0,古いカード帖,0
3205,ターマリン,ブルージェムストーン,0,アクアマリン,0,精霊の青い結晶,0,ブドウジュース,0,青ポーション,0,アシッドボトル,0,白羽のブローチ,0,古いカード帖,0
3208,エレメス=ガイル(三次職),思念体の心臓,10000,思念体の心臓,10000,研究記録,0,思念の残滓,1100,死の櫃,600,[衣装] ボーンサークレット,0,[衣装] 沈黙の執行者,0,ギロチンクロスエレメスカード,1
3209,マーガレッタ=ソリン(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ミトラ,0,[衣装] ミトラ,0,アークビショップマーガレッタカード,1
3210,カトリーヌ=ケイロン(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] 魔力石の帽子,0,[衣装] 魔力石の帽子,0,ウォーロックカトリーヌカード,1
3211,セシル=ディモン(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] 迷彩ウサギフード,0,[衣装] スナイパーゴーグル,0,レンジャーセシルカード,1
3212,ハワード=アルトアイゼン(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ドライバーバンド(赤),0,[衣装] ドライバーバンド(黄),0,メカニックハワードカード,1
3213,セイレン=ウィンザー(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ルーンサークレット,0,[衣装] ルーンサークレット,0,ルーンナイトセイレンカード,1
3214,エレメス=ガイル(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,ギロチンカタール [1],0,[衣装] ボーンサークレット,0,[衣装] 沈黙の執行者,0,戦死者のマント,0,ギロチンクロスエレメスカード,1
3215,マーガレッタ=ソリン(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,治癒の光,0,[衣装] ミトラ,0,[衣装] ミトラ,0,戦死者のマント,0,アークビショップマーガレッタカード,1
3216,カトリーヌ=ケイロン(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,茨の杖 [1],0,[衣装] 魔力石の帽子,0,[衣装] 魔力石の帽子,0,戦死者のマント,0,ウォーロックカトリーヌカード,1
3217,セシル=ディモン(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,イクシオンの羽 [3],0,[衣装] 迷彩ウサギフード,0,[衣装] スナイパーゴーグル,0,戦死者のマント,0,レンジャーセシルカード,1
3218,ハワード=アルトアイゼン(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,カルガメイス [2],0,[衣装] ドライバーバンド(赤),0,[衣装] ドライバーバンド(黄),0,戦死者のマント,0,メカニックハワードカード,1
3219,セイレン=ウィンザー(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,カルニウム,0,ギガントランス,0,[衣装] ルーンサークレット,0,[衣装] ルーンサークレット,0,戦死者のマント,0,ルーンナイトセイレンカード,1
3220,エレメス=ガイル(三次職)(MVP),シーフの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,暗殺者の手甲 [1],0,魔力が込められた古いカード帖,0,ギロチンクロスエレメス(MVP)カード,1
3221,マーガレッタ=ソリン(三次職)(MVP),アコライトの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,約束の聖書 第二巻 [1],0,魔力が込められた古いカード帖,0,アークビショップマーガレッタ(MVP)カード,1
3222,セシル=ディモン(三次職)(MVP),アーチャーの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,大型クロスボウ [2],0,魔力が込められた古いカード帖,0,レンジャーセシル(MVP)カード,1
3223,ハワード=アルトアイゼン(三次職)(MVP),マーチャントの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,ハリケーンフューリー [1],0,魔力が込められた古いカード帖,0,メカニックハワード(MVP)カード,1
3224,カトリーヌ=ケイロン(三次職)(MVP),マジシャンの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,イレイサー,0,魔力が込められた古いカード帖,0,ウォーロックカトリーヌ(MVP)カード,1
3225,セイレン=ウィンザー(三次職)(MVP),ソードマンの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,アルカブリンガー [2],0,魔力が込められた古いカード帖,0,ルーンナイトセイレン(MVP)カード,1
3226,ランデル=ロレンス(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] 守護の冠,0,[衣装] シュミッツのヘルム,0,ロイヤルガードランデルカード,1
3227,エミュール=プラメール(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ミダスのささやき,0,[衣装] ミダスのささやき,0,ジェネティックエミュールカード,1
3228,セリア=アルデ(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] 風のささやき,0,[衣装] 風のささやき,0,ソーサラーセリアカード,1
3229,チェン=リウ(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ブレイジングソウル,0,[衣装] ブレイジングソウル,0,修羅チェンカード,1
3230,ガーティー=ウー(三次職),思念体の心臓,10000,思念体の心臓,10000,研究記録,0,思念の残滓,1300,死の櫃,500,[衣装] シャドウクラウン,100,[衣装] シャドウクラウン,100,シャドウチェイサーガーティーカード,1
3231,アルフォシオ=バジル(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] ミンストレルソングの帽子,0,[衣装] ミンストレルソングの帽子,0,ミンストレルアルフォシオカード,1
3232,トレンティーニ(三次職),思念体の心臓,0,思念体の心臓,0,研究記録,0,思念の残滓,0,死の櫃,0,[衣装] バレリーナの髪飾り,0,[衣装] バレリーナの髪飾り,0,ワンダラートレンティーニカード,1
3233,ランデル=ロレンス(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,キャノンスピア [1],0,[衣装] 守護の冠,0,[衣装] シュミッツのヘルム,0,戦死者のマント,0,ロイヤルガードランデルカード,1
3234,エミュール=プラメール(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,オペレーションコート [1],0,[衣装] ミダスのささやき,0,[衣装] ミダスのささやき,0,戦死者のマント,0,ジェネティックエミュールカード,1
3235,セリア=アルデ(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,フレイムグローブ [1],0,[衣装] 風のささやき,0,[衣装] 風のささやき,0,戦死者のマント,0,ソーサラーセリアカード,1
3236,チェン=リウ(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,ブラッディクロス,0,[衣装] ブレイジングソウル,0,[衣装] ブレイジングソウル,0,戦死者のマント,0,修羅チェンカード,1
3237,ガーティー=ウー(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,ルドラの弓,0,[衣装] シャドウクラウン,0,[衣装] シャドウクラウン,0,戦死者のマント,0,シャドウチェイサーガーティーカード,1
3238,アルフォシオ=バジル(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,クリーパーボウ [2],0,[衣装] ミンストレルソングの帽子,0,[衣装] ミンストレルソングの帽子,0,戦死者のマント,0,ミンストレルアルフォシオカード,1
3239,トレンティーニ(三次職)(オーラ),思念体の心臓,0,思念体の心臓,0,ブラディウム,0,ドラゴンウィング,0,[衣装] バレリーナの髪飾り,0,[衣装] バレリーナの髪飾り,0,戦死者のマント,0,ワンダラートレンティーニカード,1
3240,ランデル=ロレンス(三次職)(MVP),ソードマンの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,精鋭守護騎士の指輪 [1],0,魔力が込められた古いカード帖,0,ロイヤルガードランデル(MVP)カード,1
3241,エミュール=プラメール(三次職)(MVP),マーチャントの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,エクスキャリバー,0,魔力が込められた古いカード帖,0,ジェネティックエミュール(MVP)カード,1
3242,セリア=アルデ(三次職)(MVP),マジシャンの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,古代の金装飾 [1],0,魔力が込められた古いカード帖,0,ソーサラーセリア(MVP)カード,1
3243,チェン=リウ(三次職)(MVP),アコライトの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,カドリール [2],0,魔力が込められた古いカード帖,0,修羅チェン(MVP)カード,1
3244,ガーティー=ウー(三次職)(MVP),シーフの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,カタパルト [2],0,魔力が込められた古いカード帖,0,シャドウチェイサーガーティー(MVP)カード,1
3245,アルフォシオ=バジル(三次職)(MVP),アーチャーの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,クリティカルリング [1],0,魔力が込められた古いカード帖,0,ミンストレルアルフォシオ(MVP)カード,1
3246,トレンティーニ(三次職)(MVP),アーチャーの魂,0,戦死者のマント,0,カルニウム,0,ブラディウム,0,古びた赤い箱,0,月光剣,0,魔力が込められた古いカード帖,0,ワンダラートレンティーニ(MVP)カード,1
3247,スモッグ,ほこりの塊,6000,粉じん,2500,黒色火薬,2000,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,スモッグカード,1
3248,修理型ウェルスギアⅡ,オリデオコン原石,0,鉄虫,0,古びた鉄塊,0,オリデオコン,0,古びた燃料タンク,0,ガーディアンバレル [1],0,リンゴ,0,修理型ウェルスギアカード,1
3249,探査型ウェルスギアⅡ,オリデオコン原石,0,鉄虫,0,古びた鉄塊,0,オリデオコン,0,古びた燃料タンク,0,リンゴ,0,リンゴ,0,探査型ウェルスギアカード,1
3250,クラップ,錆びたネジ,3200,変形した鉄板,1100,壊れたエンジン,500,ガーディアンユニット,10,リンゴ,0,リンゴ,0,リンゴ,0,クラップカード,1
3251,GC109,錆びたネジ,3500,変形した鉄板,0,爆炎のカタール,0,疾風のカタール,0,古びた燃料タンク,0,古びた鉄塊,0,リンゴ,0,GC109カード,1
3252,DR815,錆びたネジ,3000,変形した鉄板,0,冷たい氷柱のカタール,0,尖っているいばらのカタール,2500,古びた燃料タンク,0,古びた鉄塊,0,リンゴ,0,DR815カード,1
3253,システムメッセージ1,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3254,T_W_O,奇妙な部品,0,テンペスト [2],0,ピースブレイカー [3],0,ブルーサザンクロス [3],0,ライオットチップ [1],0,破損したチップ(緑) [1],0,破損したチップ(赤) [1],0,T W Oカード,1
3255,沈痛の亡者,くさった包帯,2500,死者の遺品,1250,骸骨の指輪,1500,ブドウ,750,呪われたルビー,750,光の粒,0,リンゴ,0,リンゴ,0
3256,悲痛の亡者,くさった包帯,2240,死者の遺品,1360,骸骨の指輪,1760,ブドウ,1200,呪われたルビー,1360,光の粒,0,リンゴ,0,リンゴ,0
3262,ローザ・グミ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3263,グリューン・グミ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3264,オランジュ・グミ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3265,グレンツェント・グミ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3266,グラウ・グミ,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3380,アンカー,魚の尻尾,0,鋭い牙,0,放電する触角,0,蛍光色の液体,0,酸素ボンベ [1],0,エベシ嵐のうねり,0,提灯,0,リンゴ,0
3402,兵隊デニーロ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3403,兵隊ピエール(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3404,兵隊アンドレ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3442,フローズンウルフ,冷気の核,0,邪念のツーハンドソード,0,邪念のランス,0,邪念のツーハンドアックス,0,邪念のスタッフ,0,邪念の風魔手裏剣,0,邪念のハンドガン,0,フローズンウルフカード,1
3443,タフィー,ハリネズミの大きな針,0,邪念のツーハンドソード,0,邪念のランス,0,邪念のツーハンドアックス,0,邪念のスタッフ,0,邪念の風魔手裏剣,0,邪念のハンドガン,0,タフィーカード,1
3444,ウォッチャー,トゲの実,0,アンティペインメント,0,ラフウィンド,0,エルニウム,0,ルーン魔法の粉,0,リンゴ,0,リンゴ,0,ウォッチャーカード,1
3445,パワフルAスケルトン,スケルボーン,0,赤ハーブ,0,炎の矢,0,オリデオコン原石,0,邪念のボウ,0,邪念のボウ,0,リンゴジュース,0,パワフルAスケルトンカード,1
3446,パワフルスケルトン,スケルボーン,0,ゼロピー,0,赤ハーブ,0,オリデオコン原石,0,邪念のメイス,0,ドクロ,0,リンゴ,0,パワフルスケルトンカード,1
3447,パワフルSスケルトン,スケルボーン,0,赤ハーブ,0,オリデオコン原石,0,邪念のダガー,0,邪念のダガー,0,死者の遺品,0,鋼鉄,0,パワフルSスケルトンカード,1
3448,パワフルアムダライス,古い紫色の箱,0,闇の結晶体,0,イグドラシルの実,0,忠節の証,0,古いカード帖,0,邪念のツーハンドソード,0,リンゴ,0,パワフルアムダライスカード,1
3449,改造アムダライス,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3450,ビジョウ,宝箱,0,ヴァルキリーの力の破片,0,ダークハンド [1],0,魔女の祭祀帽 [1],0,リンゴ,0,リンゴ,0,リンゴ,0,ビジョウカード,1
3451,不死の軍団兵,動く黒い物質,0,除湿剤,0,おにぎり,0,タキシード,0,花,0,邪念のダガー,0,邪念のセイバー,0,リンゴ,0
3452,ゾンビガード,亡者の爪,0,亡者の牙,0,古いベルト,0,死者のスプーン [2],0,リンゴ,0,リンゴ,0,リンゴ,0,ゾンビガードカード,1
3454,怪しい侵入者,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3455,とても高級なお皿,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3456,サンドバッグマン(火4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3457,サンドバッグマン(風4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3458,サンドバッグマン(毒4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3459,サンドバッグマン(聖4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3460,サンドバッグマン(闇4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3461,サンドバッグマン(念4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3462,サンドバッグマン(不死4),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
3463,サンドバッグマン(無1),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
